Gövde Kapak Malzemesi Numune 4|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|Ti  0.014  %  ASTM E1999  |Ti|0.014
Gövde Kapak Malzemesi Numune 4|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|*Mg  0.042  %  ASTM E1999  |Mg|0.042
Gövde Kapak Malzemesi Numune 4|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|C  3.642  %  ASTM E1999  |C|3.642
Gövde Kapak Malzemesi Numune 4|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|Si  2.705  %  ASTM E1999  |Si|2.705
Gövde Kapak Malzemesi Numune 4|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|Mn  0.291  %  ASTM E1999  |Mn|0.291
Gövde Kapak Malzemesi Numune 4|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|P  0.034  %  ASTM E1999  |P|0.034
Gövde Kapak Malzemesi Numune 4|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|S  0.010  %  ASTM E1999  |S|0.010
Gövde Kapak Malzemesi Numune 4|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|Cr  0.029  %  ASTM E1999  |Cr|0.029
Gövde Kapak Malzemesi Numune 4|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|Ni  0.018  %  ASTM E1999  |Ni|0.018
Gövde Kapak Malzemesi Numune 4|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|Cu  0.056  %  ASTM E1999  |Cu|0.056
Gövde Kapak Malzemesi Numune 4|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|V  0.0092  %  ASTM E1999  |V|0.0092
Gövde Kapak Malzemesi Numune 5|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|Ti  0.010  %  ASTM E1999  |Ti|0.010
Gövde Kapak Malzemesi Numune 5|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|*Mg  0.045  %  ASTM E1999  |Mg|0.045
Gövde Kapak Malzemesi Numune 5|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|C  3.669  %  ASTM E1999  |C|3.669
Gövde Kapak Malzemesi Numune 5|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|Si  2.720  %  ASTM E1999  |Si|2.720
Gövde Kapak Malzemesi Numune 5|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|Mn  0.286  %  ASTM E1999  |Mn|0.286
Gövde Kapak Malzemesi Numune 5|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|P  0.036  %  ASTM E1999  |P|0.036
Gövde Kapak Malzemesi Numune 5|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|S  0.0079  %  ASTM E1999  |S|0.0079
Gövde Kapak Malzemesi Numune 5|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|Cr  0.032  %  ASTM E1999  |Cr|0.032
Gövde Kapak Malzemesi Numune 5|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|Ni  0.021  %  ASTM E1999  |Ni|0.021
Gövde Kapak Malzemesi Numune 5|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|Cu  0.059  %  ASTM E1999  |Cu|0.059
Gövde Kapak Malzemesi Numune 5|Dökme Demir Spektrometrik Analiz (Cast Iron Spectrometric Analysis)|V  0.010  %  ASTM E1999  |V|0.010
Kilit Mekanizması Numune 1|Paslanmaz Çelik Spektrometrik Analiz|C  0.036  %  ASTM E1086  |C|0.036
Kilit Mekanizması Numune 1|Paslanmaz Çelik Spektrometrik Analiz|Si  0.422  %  ASTM E1086  |Si|0.422
Kilit Mekanizması Numune 1|Paslanmaz Çelik Spektrometrik Analiz|Mn  1.615  %  ASTM E1086  |Mn|1.615
Kilit Mekanizması Numune 1|Paslanmaz Çelik Spektrometrik Analiz|P  0.038  %  ASTM E1086  |P|0.038
Kilit Mekanizması Numune 1|Paslanmaz Çelik Spektrometrik Analiz|S  0.011  %  ASTM E1086  |S|0.011
Kilit Mekanizması Numune 1|Paslanmaz Çelik Spektrometrik Analiz|Cr  18.52  %  ASTM E1086  |Cr|18.52
Kilit Mekanizması Numune 1|Paslanmaz Çelik Spektrometrik Analiz|Ni  8.226  %  ASTM E1086  |Ni|8.226
Kilit Mekanizması Numune 1|Paslanmaz Çelik Spektrometrik Analiz|Mo  0.203  %  ASTM E1086  |Mo|0.203
Kilit Mekanizması Numune 1|Paslanmaz Çelik Spektrometrik Analiz|Cu  0.536  %  ASTM E1086  |Cu|0.536
Kilit Mekanizması Numune 1|Paslanmaz Çelik Spektrometrik Analiz|Fe+Diğer  Kalan  %  ASTM E1086  |Fe+Diğer|Kalan
